study_time,idle_time,break_time,tasks_completed,session_time,time_of_day,focus_score
132,180,20,11,339,afternoon,100
360,180,54,6,600,evening,96
246,132,37,8,430,evening,96
108,180,16,7,314,evening,58
60,180,9,8,255,evening,93
366,180,55,12,600,night,97
168,138,25,11,340,afternoon,76
198,180,30,9,418,night,76
138,180,21,7,347,afternoon,81
186,180,28,6,399,evening,100
176,180,26,12,388,evening,61
54,90,8,8,169,night,65
192,96,29,11,330,evening,100
84,180,13,12,290,morning,72
234,138,35,11,414,afternoon,96
270,180,40,8,505,night,100
204,144,31,10,395,afternoon,100
366,174,55,10,600,morning,100
27,36,5,9,77,night,88
276,180,41,5,502,morning,96
300,180,45,6,544,morning,73
204,180,31,11,433,evening,100
246,180,37,5,476,morning,90
336,180,50,6,585,morning,93
186,18,28,12,238,night,79
402,180,60,6,600,evening,90
92,180,14,7,300,afternoon,83
78,180,12,6,278,night,65
102,90,15,9,215,morning,100
302,156,45,10,516,evening,100
252,78,38,10,378,afternoon,100
319,180,48,12,559,afternoon,98
114,90,17,10,229,morning,75
366,180,55,9,600,evening,97
294,180,44,5,527,evening,100
419,180,63,10,600,morning,98
240,132,36,6,422,afternoon,92
96,90,14,10,212,night,82
318,180,48,6,558,morning,88
234,180,35,7,457,afternoon,82
384,180,58,6,600,afternoon,85
480,78,72,12,600,morning,100
480,180,72,9,600,night,98
430,180,64,6,600,night,100
192,180,29,5,409,afternoon,63
264,180,40,9,495,night,91
288,180,43,11,523,night,100
162,180,24,6,377,evening,91
336,180,50,6,572,night,100
384,180,58,5,600,evening,88
240,180,36,11,466,morning,90
132,180,20,7,337,morning,89
30,180,5,8,231,night,93
114,180,17,11,316,afternoon,92
156,180,23,11,367,afternoon,90
324,180,49,6,563,night,79
216,180,32,10,445,morning,79
186,72,28,12,301,morning,100
330,180,50,8,574,morning,100
139,180,21,11,352,afternoon,91
198,180,30,9,422,night,99
126,180,19,5,343,night,81
186,180,28,11,412,morning,96
300,180,45,8,541,evening,97
432,180,65,6,600,afternoon,100
252,180,38,9,478,morning,92
419,180,63,8,600,afternoon,100
168,144,25,7,347,night,83
480,180,72,10,600,evening,99
480,180,72,6,600,night,80
234,180,35,9,463,afternoon,93
402,162,60,12,600,morning,100
174,180,26,10,397,morning,93
198,180,30,9,418,night,96
78,180,12,12,276,night,94
246,180,37,7,481,morning,80
150,180,22,5,360,morning,95
162,180,24,5,380,evening,95
366,180,55,7,600,afternoon,70
426,180,64,5,600,afternoon,97
300,180,45,8,538,afternoon,100
384,180,58,9,600,afternoon,81
210,144,32,6,394,morning,71
150,144,22,6,332,afternoon,74
324,180,49,5,564,afternoon,95
342,168,51,12,570,morning,91
328,180,49,9,567,afternoon,95
204,180,31,6,422,afternoon,91
102,180,15,8,303,night,100
72,180,11,8,273,morning,79
384,114,58,10,569,night,82
396,180,59,10,600,afternoon,93
102,180,15,11,302,night,85
138,180,21,5,348,afternoon,95
216,180,32,10,433,night,100
240,180,36,10,462,night,98
216,180,32,8,436,morning,100
264,180,40,5,497,morning,100
168,168,25,6,371,afternoon,93
354,180,53,11,593,evening,74
60,42,9,5,124,afternoon,74
480,180,72,8,600,afternoon,100
296,180,44,6,538,morning,98
222,180,33,6,453,afternoon,76
278,180,42,6,508,night,95
312,180,47,10,556,evening,82
96,180,14,12,297,afternoon,83
192,180,29,8,410,afternoon,100
134,180,20,7,341,morning,86
372,84,56,9,528,night,99
192,180,29,9,407,afternoon,100
144,180,22,9,358,evening,92
408,180,61,9,600,morning,82
234,180,35,12,467,evening,100
156,180,23,7,367,evening,71
60,168,9,12,248,afternoon,98
348,180,52,8,599,morning,84
120,180,18,11,330,afternoon,93
270,180,40,11,508,evening,100
480,180,72,6,600,night,87
339,180,51,6,577,morning,77
5,180,5,10,204,afternoon,90
420,180,63,7,600,morning,82
318,180,48,11,563,night,87
5,180,5,6,195,night,97
330,180,50,9,578,evening,98
480,180,72,7,600,afternoon,92
240,156,36,11,441,evening,93
306,156,46,9,517,morning,100
288,36,43,8,376,morning,87
192,180,29,7,411,evening,100
222,180,33,9,454,night,76
434,180,65,5,600,morning,91
228,180,34,8,450,night,93
174,180,26,9,393,afternoon,98
240,84,36,11,375,night,93
198,126,30,10,372,morning,98
157,120,24,10,317,evening,93
216,180,32,10,445,night,95
312,180,47,11,548,morning,100
120,180,18,10,335,night,74
168,180,25,10,388,evening,82
132,180,20,6,344,night,52
84,180,13,9,293,afternoon,94
234,180,35,6,468,morning,67
318,132,48,8,514,morning,100
174,168,26,10,385,morning,96
162,180,24,5,383,morning,85
144,180,22,10,360,night,69
183,156,27,8,374,afternoon,100
5,180,5,5,208,evening,94
198,180,30,11,424,night,79
5,180,5,10,196,night,100
162,72,24,6,263,afternoon,67
114,180,17,5,319,night,83
162,180,24,7,378,evening,84
396,180,59,11,600,night,86
306,90,46,10,458,morning,95
303,180,45,6,535,morning,91
204,180,31,7,429,morning,78
198,108,30,5,342,night,100
216,180,32,9,433,evening,63
287,180,43,7,520,morning,90
289,180,43,11,524,afternoon,96
444,180,67,6,600,evening,99
90,180,14,8,290,night,77
132,180,20,7,345,evening,77
270,108,40,10,432,morning,74
270,114,40,10,436,morning,100
294,180,44,7,523,night,96
120,180,18,5,334,evening,63
173,180,26,8,385,afternoon,100
30,180,5,8,232,night,91
132,180,20,11,347,morning,98
252,162,38,8,457,afternoon,100
376,30,56,6,473,evening,91
252,180,38,11,488,evening,77
168,180,25,6,378,evening,82
66,180,10,7,270,night,54
48,180,7,5,240,night,93
270,180,40,7,508,afternoon,73
294,180,44,8,525,evening,84
144,180,22,11,358,night,79
204,156,31,5,405,evening,79
264,180,40,9,493,evening,68
294,180,44,10,527,morning,76
102,138,15,10,262,morning,87
360,180,54,10,600,afternoon,100
383,180,57,10,600,morning,100
354,180,53,11,596,night,89
450,90,68,10,600,afternoon,98
186,180,28,12,406,afternoon,97
5,66,5,5,93,afternoon,89
408,180,61,6,600,morning,100
108,180,16,10,311,evening,84
348,180,52,10,595,morning,97
228,180,34,6,448,afternoon,94
276,180,41,10,508,afternoon,98
246,180,37,10,478,afternoon,80
234,168,35,7,443,afternoon,85
360,108,54,6,534,night,94
480,180,72,9,600,morning,100
222,180,33,8,442,evening,95
366,150,55,9,587,evening,66
378,180,57,9,600,afternoon,100
234,180,35,10,465,night,80
336,84,50,5,479,night,94
366,180,55,9,600,morning,100
378,180,57,10,600,morning,67
300,132,45,9,496,afternoon,85
276,180,41,6,507,morning,97
5,180,5,11,209,afternoon,96
240,180,36,12,472,afternoon,82
228,48,34,8,328,night,100
300,156,45,8,520,evening,80
264,180,40,5,503,night,94
234,180,35,11,466,morning,90
144,180,22,9,356,night,80
234,180,35,12,468,evening,66
318,180,48,6,564,evening,98
288,180,43,7,523,morning,100
210,144,32,6,392,evening,97
294,180,44,6,537,morning,99
51,180,8,7,253,evening,69
180,180,27,11,394,night,98
125,180,19,6,331,afternoon,100
90,180,14,9,291,evening,77
472,180,71,10,600,evening,100
468,180,70,10,600,morning,90
138,180,21,10,347,night,83
96,180,14,7,309,morning,56
396,180,59,5,600,night,99
276,180,41,5,511,morning,93
402,180,60,11,600,evening,100
210,180,32,9,435,afternoon,79
126,180,19,10,341,afternoon,100
24,72,5,10,118,evening,92
276,180,41,10,509,evening,88
163,180,24,7,376,morning,100
156,180,23,5,370,night,85
366,180,55,6,600,morning,99
360,180,54,8,600,night,98
122,180,18,9,325,evening,100
342,42,51,7,453,night,97
288,180,43,11,519,morning,100
204,180,31,7,424,night,86
300,72,45,8,434,morning,100
150,180,22,8,366,morning,94
306,180,46,8,545,evening,96
282,96,42,11,426,evening,87
42,180,6,6,245,afternoon,46
312,180,47,6,550,evening,82
402,180,60,9,600,night,100
222,180,33,8,449,afternoon,96
263,180,39,12,487,night,74
210,180,32,10,433,evening,84
480,24,72,6,589,morning,100
276,120,41,6,451,night,100
188,180,28,10,410,morning,100
366,180,55,8,600,evening,96
263,180,39,8,488,night,93
324,180,49,10,561,evening,79
354,150,53,7,571,evening,100
228,180,34,11,448,evening,97
246,78,37,8,377,morning,97
198,180,30,8,422,evening,99
270,180,40,8,509,morning,98
246,150,37,9,438,evening,93
383,114,57,10,568,night,100
192,78,29,8,306,evening,98
366,180,55,8,600,morning,100
222,180,33,5,452,morning,95
156,180,23,11,373,night,76
270,180,40,12,507,morning,84
162,180,24,6,376,night,75
346,180,52,6,590,evening,94
306,180,46,11,545,morning,100
348,156,52,6,565,morning,91
270,180,40,10,501,morning,99
192,66,29,7,295,evening,94
199,180,30,9,422,morning,96
324,180,49,10,570,evening,88
264,180,40,7,498,evening,78
264,180,40,11,496,morning,88
5,180,5,5,204,afternoon,93
312,6,47,8,372,morning,96
348,180,52,10,597,morning,100
180,72,27,5,289,evening,100
480,150,72,12,600,morning,95
114,180,17,7,320,afternoon,88
258,180,39,10,485,night,83
300,180,45,6,536,afternoon,100
102,180,15,12,306,evening,89
108,180,16,8,315,afternoon,90
318,144,48,8,529,afternoon,61
261,180,39,7,496,night,100
174,180,26,11,394,afternoon,100
366,180,55,12,600,night,100
198,144,30,8,378,morning,97
408,180,61,11,600,night,98
156,132,23,7,320,night,67
319,180,48,11,563,night,75
286,138,43,10,482,evening,72
262,126,39,8,445,afternoon,86
258,168,39,11,473,night,58
198,126,30,11,361,evening,100
252,180,38,5,486,night,95
192,180,29,8,420,morning,91
384,180,58,7,600,morning,100
258,180,39,7,494,morning,96
126,138,19,7,301,evening,94
185,180,28,6,398,afternoon,93
222,168,33,5,435,night,100
126,180,19,5,333,evening,100
222,168,33,5,433,morning,95
156,180,23,11,374,night,100
240,180,36,9,463,morning,75
126,180,19,6,341,night,75
174,180,26,9,387,afternoon,100
126,180,19,9,333,night,78
480,180,72,10,600,night,80
246,90,37,5,383,evening,100
420,180,63,7,600,morning,94
270,180,40,6,496,morning,100
336,180,50,8,576,night,100
252,180,38,8,487,night,86
416,180,62,7,600,afternoon,100
402,180,60,7,600,afternoon,100
168,180,25,7,391,night,60
270,180,40,9,508,evening,100
96,180,14,5,297,night,65
108,180,16,5,309,evening,77
126,180,19,6,332,morning,99
324,180,49,12,572,morning,100
294,180,44,5,526,afternoon,98
284,180,43,5,512,morning,90
252,180,38,10,487,afternoon,98
42,180,6,6,236,night,79
210,180,32,6,428,morning,100
312,180,47,7,553,evening,100
90,180,14,12,292,afternoon,65
348,168,52,8,585,night,94
216,180,32,12,446,evening,87
5,180,5,8,199,night,88
323,180,48,6,569,afternoon,93
306,180,46,9,548,morning,100
132,180,20,11,347,night,100
378,174,57,8,600,evening,100
246,180,37,11,470,afternoon,82
132,138,20,5,302,night,100
226,180,34,9,455,night,84
378,180,57,10,600,morning,95
432,180,65,6,600,night,92
270,180,40,6,500,afternoon,76
456,180,68,11,600,evening,100
174,180,26,7,391,morning,79
145,12,22,5,192,afternoon,85
480,180,72,8,600,night,99
288,180,43,7,526,morning,100
258,180,39,7,492,evening,100
108,180,16,10,322,morning,100
5,180,5,6,204,morning,96
324,180,49,9,564,evening,87
240,180,36,5,467,afternoon,95
286,96,43,5,440,morning,93
54,150,8,10,224,night,100
114,180,17,10,325,night,100
330,54,50,7,441,night,84
168,180,25,11,387,evening,97
306,180,46,7,544,evening,76
318,180,48,10,558,night,100
348,180,52,7,598,evening,74
240,180,36,8,466,evening,85
240,180,36,9,469,evening,98
96,102,14,5,217,night,85
18,180,5,11,219,morning,96
414,126,62,11,600,night,97
408,180,61,11,600,afternoon,75
186,150,28,9,376,night,98
5,180,5,12,203,night,70
336,180,50,10,580,afternoon,86
102,180,15,12,307,night,85
356,180,53,8,598,night,85
312,180,47,12,547,afternoon,100
462,180,69,7,600,night,100
245,180,37,8,478,night,87
206,180,31,10,422,night,76
270,180,40,11,496,morning,69
276,162,41,10,491,evening,100
240,180,36,9,463,morning,100
360,156,54,10,582,morning,100
378,180,57,6,600,evening,86
420,180,63,6,600,night,99
301,180,45,8,539,evening,100
480,42,72,8,600,afternoon,96
306,156,46,12,522,night,100
324,180,49,7,567,morning,100
150,180,22,8,359,night,64
246,156,37,11,445,morning,100
379,132,57,5,579,night,99
276,174,41,10,497,afternoon,100
480,180,72,5,600,evening,100
102,180,15,6,304,night,100
60,132,9,6,218,night,69
216,180,32,7,438,night,95
288,180,43,7,518,morning,100
270,180,40,8,509,morning,74
264,180,40,6,503,evening,94
348,180,52,7,597,afternoon,94
210,180,32,6,431,afternoon,98
240,180,36,5,467,evening,98
354,180,53,11,600,evening,71
207,180,31,5,433,afternoon,83
246,180,37,8,470,night,65
198,180,30,11,419,afternoon,90
156,180,23,8,368,afternoon,100
258,180,39,10,493,morning,100
264,180,40,5,493,night,100
24,72,5,10,116,afternoon,98
330,180,50,8,565,morning,96
246,60,37,9,348,afternoon,90
320,180,48,9,561,afternoon,100
204,180,31,12,428,night,73
168,180,25,10,388,night,91
438,84,66,10,596,afternoon,87
408,180,61,8,600,afternoon,95
408,144,61,10,600,morning,100
276,180,41,8,504,evening,73
363,180,54,9,600,night,91
480,168,72,6,600,afternoon,95
360,180,54,8,600,night,100
282,180,42,7,516,afternoon,100
132,180,20,12,349,afternoon,91
132,180,20,6,351,morning,58
246,180,37,7,474,evening,100
144,132,22,6,303,afternoon,68
150,180,22,11,370,evening,100
306,180,46,11,545,evening,95
240,180,36,10,475,morning,93
192,144,29,12,370,evening,100
240,180,36,6,464,afternoon,76
360,180,54,6,600,evening,86
216,180,32,10,439,morning,100
384,180,58,10,600,morning,63
36,180,5,8,227,evening,82
240,180,36,9,474,morning,74
480,180,72,11,600,night,84
354,84,53,5,504,afternoon,100
150,180,22,5,363,night,88
300,162,45,11,521,night,97
258,180,39,8,489,morning,96
234,120,35,12,394,afternoon,93
219,180,33,9,439,night,87
336,180,50,10,574,evening,100
180,174,27,9,393,evening,99
114,180,17,10,320,afternoon,54
252,180,38,12,480,night,78
324,180,49,12,562,morning,72
258,180,39,5,488,afternoon,93
156,180,23,8,375,evening,98
228,180,34,5,458,afternoon,100
138,180,21,7,354,evening,88
252,180,38,12,482,night,76
270,162,40,11,477,night,84
324,180,49,11,558,afternoon,100
289,168,43,9,516,night,71
273,180,41,5,505,morning,100
252,174,38,6,482,afternoon,96
144,66,22,6,250,afternoon,86
222,180,33,5,449,evening,89
108,180,16,7,313,morning,100
234,180,35,9,460,morning,75
114,138,17,8,276,evening,84
300,132,45,9,490,evening,75
5,180,5,11,195,afternoon,99
156,180,23,6,365,evening,88
246,180,37,6,476,evening,62
258,180,39,11,491,evening,69
354,180,53,12,595,evening,100
330,180,50,10,578,afternoon,100
295,180,44,11,528,morning,100
132,180,20,11,341,afternoon,79
138,180,21,11,355,afternoon,95
204,180,31,11,429,evening,100
174,180,26,7,398,morning,88
282,60,42,9,400,night,84
210,180,32,9,430,afternoon,100
330,180,50,7,571,morning,89
475,132,71,8,600,afternoon,97
231,180,35,10,455,morning,94
108,180,16,8,313,afternoon,65
252,54,38,10,362,evening,98
282,180,42,12,523,afternoon,98
354,180,53,9,600,morning,100
360,180,54,8,599,afternoon,95
324,180,49,9,564,night,92
480,180,72,8,600,night,96
162,180,24,10,382,evening,79
66,180,10,6,275,morning,85
246,180,37,8,479,evening,100
276,180,41,7,507,morning,73
120,180,18,9,333,night,97
480,72,72,7,600,night,97
378,180,57,10,600,morning,91
240,180,36,5,473,night,100
54,180,8,11,257,afternoon,63
474,180,71,9,600,morning,96
350,180,52,6,598,morning,98
301,180,45,8,541,night,96
183,180,27,8,395,morning,88
354,180,53,6,600,night,86
294,156,44,7,502,evening,94
162,84,24,10,280,night,93
132,180,20,11,348,afternoon,96
120,36,18,12,180,afternoon,96
204,180,31,8,423,morning,100
120,180,18,10,330,morning,70
300,180,45,6,530,night,100
173,180,26,11,395,evening,69
42,180,6,5,241,evening,98
378,180,57,5,600,evening,100
198,180,30,5,424,evening,88
354,180,53,8,597,night,100
180,180,27,10,397,evening,100
450,168,68,5,600,afternoon,96
210,180,32,6,435,night,80
24,180,5,6,224,evening,56
282,180,42,9,511,afternoon,100
342,180,51,8,581,evening,98
273,180,41,6,507,morning,89
186,180,28,7,406,evening,88
312,180,47,6,546,night,98
372,180,56,10,600,night,100
162,180,24,6,377,night,59
426,180,64,10,600,morning,97
306,96,46,8,453,afternoon,94
210,180,32,11,437,night,72
318,180,48,11,551,night,65
204,180,31,10,422,afternoon,82
330,48,50,6,441,afternoon,100
114,180,17,6,319,afternoon,100
360,180,54,11,600,afternoon,88
361,174,54,8,598,evening,73
156,180,23,11,372,night,64
126,84,19,7,238,morning,98
285,180,43,9,520,afternoon,99
330,180,50,7,569,evening,100
144,180,22,8,356,afternoon,77
174,150,26,5,366,evening,89
226,180,34,11,446,evening,92
246,180,37,9,468,evening,74
144,180,22,8,355,evening,98
216,180,32,8,435,morning,82
408,180,61,10,600,morning,97
306,180,46,7,546,morning,80
216,180,32,7,446,night,85
192,180,29,7,408,night,79
48,180,7,10,241,night,90
270,144,40,9,471,night,98
5,180,5,10,199,afternoon,68
192,180,29,7,417,afternoon,100
198,180,30,8,413,afternoon,69
288,180,43,7,527,evening,74
354,180,53,12,600,evening,83
288,180,43,6,525,afternoon,93
156,66,23,9,250,evening,96
270,180,40,11,495,afternoon,100
480,180,72,10,600,evening,94
264,180,40,11,503,evening,82
252,180,38,9,478,night,93
276,180,41,8,503,evening,95
342,180,51,11,587,evening,100
192,180,29,5,406,afternoon,99
270,174,40,8,489,night,96
318,180,48,9,558,evening,91
341,180,51,8,577,afternoon,87
444,132,67,6,600,night,87
90,180,14,9,297,evening,99
6,150,5,6,171,afternoon,61
186,180,28,10,407,night,75
420,180,63,10,600,morning,100
240,180,36,6,465,morning,86
66,180,10,10,268,morning,69
60,180,9,7,254,evening,88
480,180,72,9,600,afternoon,100
264,180,40,6,492,evening,69
294,180,44,7,532,afternoon,83
216,180,32,8,447,morning,100
324,180,49,11,572,evening,100
306,180,46,6,538,morning,93
480,180,72,6,600,morning,80
48,180,7,10,243,morning,96
468,180,70,5,600,afternoon,96
276,180,41,8,506,evening,83
300,180,45,5,538,evening,97
210,180,32,6,432,evening,99
480,126,72,9,600,morning,100
270,180,40,11,502,morning,100
300,180,45,5,536,afternoon,100
54,180,8,6,255,night,71
241,42,36,10,327,afternoon,100
144,96,22,5,274,evening,66
138,180,21,10,352,afternoon,90
114,180,17,9,327,evening,100
348,180,52,6,592,morning,90
366,180,55,10,600,afternoon,100
168,168,25,8,366,morning,96
96,180,14,10,301,night,70
180,132,27,11,350,night,96
84,180,13,12,287,night,88
336,180,50,11,582,morning,92
480,144,72,7,600,evening,100
168,180,25,9,383,afternoon,59
386,180,58,7,600,evening,93
324,180,49,6,567,evening,66
288,108,43,6,458,evening,86
162,180,24,9,376,evening,100
216,180,32,11,445,night,80
109,180,16,5,311,evening,95
252,174,38,10,482,morning,94
360,180,54,6,600,afternoon,90
144,180,22,6,365,morning,100
216,168,32,12,421,morning,92
132,168,20,5,333,night,57
120,180,18,6,323,evening,87
390,180,58,6,600,night,67
126,180,19,8,340,morning,99
288,180,43,5,527,morning,95
138,180,21,10,346,morning,90
126,180,19,8,336,night,91
156,180,23,6,376,afternoon,100
480,180,72,6,600,morning,95
240,180,36,6,472,evening,65
186,180,28,12,408,evening,63
204,180,31,6,431,morning,78
297,180,45,10,535,morning,93
309,180,46,6,550,evening,100
318,180,48,5,562,night,100
270,174,40,11,502,evening,99
174,180,26,5,387,evening,100
108,180,16,9,317,afternoon,91
300,180,45,5,531,evening,100
168,180,25,10,382,night,92
174,132,26,10,337,evening,100
61,180,9,5,265,night,92
108,138,16,5,268,morning,59
480,180,72,7,600,night,89
192,180,29,6,415,night,100
238,180,36,9,463,afternoon,91
360,180,54,7,600,morning,100
96,168,14,5,283,night,84
294,180,44,9,523,night,72
240,156,36,7,451,night,94
114,180,17,6,324,night,99
156,180,23,6,368,night,98
372,180,56,11,600,afternoon,98
198,180,30,10,425,afternoon,62
222,180,33,9,447,morning,100
264,180,40,8,502,afternoon,95
198,78,30,10,314,afternoon,91
150,180,22,11,364,morning,93
306,66,46,10,425,night,65
432,180,65,6,600,evening,91
168,180,25,7,386,night,100
264,180,40,8,493,evening,100
192,120,29,6,348,morning,100
258,180,39,10,488,night,79
375,180,56,7,600,morning,91
78,180,12,5,288,morning,85
168,180,25,9,384,evening,75
318,138,48,8,523,morning,92
348,168,52,12,577,morning,99
282,180,42,6,510,evening,100
228,54,34,10,324,afternoon,90
264,180,40,12,501,morning,97
18,180,5,11,219,morning,83
270,180,40,5,506,evening,83
234,90,35,5,370,evening,84
252,78,38,5,379,morning,73
246,180,37,8,480,evening,89
312,180,47,12,544,night,93
228,90,34,7,369,morning,100
162,180,24,9,377,evening,86
5,180,5,10,203,night,76
210,66,32,9,322,afternoon,94
198,180,30,8,413,night,59
198,180,30,5,415,afternoon,81
216,180,32,9,440,morning,91
246,180,37,10,476,evening,99
421,180,63,10,600,evening,97
480,180,72,12,600,morning,100
348,90,52,10,497,afternoon,100
252,180,38,10,477,morning,87
120,180,18,7,330,morning,99
306,162,46,7,529,morning,89
120,180,18,7,332,morning,97
240,138,36,10,424,evening,72
267,180,40,10,499,morning,97
79,180,12,7,287,morning,77
246,180,37,7,473,morning,83
156,180,23,12,373,night,95
168,18,25,9,217,afternoon,91
391,156,59,5,600,afternoon,100
240,180,36,7,471,afternoon,96
110,180,16,7,318,night,100
144,180,22,12,355,evening,100
318,108,48,8,480,morning,83
150,180,22,7,363,night,79
318,168,48,8,550,afternoon,96
478,180,72,7,600,afternoon,96
450,180,68,5,600,afternoon,92
291,180,44,10,523,night,90
270,180,40,9,509,morning,100
132,180,20,10,345,evening,91
312,180,47,6,557,afternoon,95
222,180,33,10,446,morning,98
480,180,72,7,600,morning,95
264,180,40,10,496,evening,99
348,180,52,8,599,evening,77
316,180,47,11,558,afternoon,97
282,138,42,6,472,afternoon,100
318,96,48,10,477,night,97
240,180,36,12,471,evening,99
384,180,58,9,600,night,85
462,180,69,7,600,evening,99
228,180,34,8,455,afternoon,83
204,180,31,7,423,afternoon,100
5,180,5,6,205,afternoon,95
270,180,40,6,498,evening,94
234,180,35,6,454,afternoon,100
446,138,67,9,600,morning,99
288,180,43,6,517,morning,95
372,60,56,5,501,afternoon,97
90,180,14,10,289,afternoon,70
450,180,68,7,600,morning,100
120,180,18,7,336,evening,78
378,180,57,10,600,morning,100
330,150,50,7,541,evening,100
228,72,34,9,349,night,90
246,180,37,6,468,night,93
258,180,39,8,486,morning,61
